image,link,measure,name,old_price,price,sale
https://d3r3h30p75xj6a.cloudfront.net/artikelen/32807_1_408050_637171103155433421.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/non-food/non-food/trendline-enveloppen-c6-50-stuks/55236,Per pak,Trendline Enveloppen C6 50 stuks,,95.0,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/146271_1_388089_638109594138123317.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/non-food/non-food/valentijn-wenskaart-a4/33162,Per stuk,Valentijn wenskaart A4,,99.0,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/114491_1_407270_637865065175566658.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/huishoud-huisdieren/kaarsen/spaas-theelichten-4-uur/54062,100 stuks,Spaas Theelichten 4 uur,,3.49,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/114492_1_407271_637865065181656549.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/huishoud-huisdieren/kaarsen/spaas-theelichten-10-uur/55434,12 stuks,Spaas Theelichten 10 uur,,2.75,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/87433_1_407524_637807078180324498.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/snacks-snoep/chocolade/bio-chocoladereep-extra-puur-85-cacao/54523,100 g,Bio+ Chocoladereep extra puur 85% cacao,,1.53,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/53502_1_413742_637292765148984344.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/huishoud-huisdieren/huisdieren/hondenvoer-rund-en-groenten/60371,4 kg,Hondenvoer rund en groenten,,3.89,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/28817_1_395658_637188489448808641.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/huishoud-huisdieren/lampen-batterijen/varta-lithium-knoopcelbatterijen/41750,2 stuks,Varta Lithium knoopcelbatterijen,,5.89,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/28818_1_395659_637188489453844535.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/huishoud-huisdieren/lampen-batterijen/varta-lithium-knoopcelbatterijen/41751,2 stuks,Varta Lithium knoopcelbatterijen,,5.89,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/55657_1_412357_637292728011987135.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/huishoud-huisdieren/lampen-batterijen/varta-batterij-longlife-aa/61752,8 stuks,Varta Batterij longlife aa,,3.99,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/28781_1_405922_637183306985030446.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/huishoud-huisdieren/lampen-batterijen/varta-batterij-longlife-power-c/53414,2 stuks,Varta Batterij longlife power c,,3.99,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/5518_1_109204_637177869147017382.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/diepvries/diepvries-vlees/stolle-kippenborstfilets/20751,500 g,Stolle Kippenborstfilets,,3.59,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/28747_1_40780_637453530750708319.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/diepvries/diepvries-vlees/portion-frost-varkenshaas-2-stuks/20931,250 g,Portion Frost Varkenshaas 2 stuks,,3.49,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/5707_1_354736_637170157615617038.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/voorraadkast/speciale-voeding/smaakt-aardappelchips-paprika/8176,125 g,Smaakt Aardappelchips paprika,,1.89,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/28782_1_405923_637183306993208840.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/huishoud-huisdieren/lampen-batterijen/varta-batterij-longlife-power-d/53415,2 stuks,Varta Batterij longlife power D,,3.99,
